Entity,Code,Year,Hydropower (terawatt-hours),Solar (terawatt-hours),Wind (terawatt-hours),Other renewables (terawatt-hours)
Africa,,1965,14.27880557,0,0,0
Africa,,1966,15.64904894,0,0,0
Africa,,1967,16.15833296,0,0,0
Africa,,1968,18.62298276,0,0,0
Africa,,1969,21.58289682,0,0,0
Africa,,1970,27.07628702,0,0,0
Africa,,1971,25.8366053,0,0,0.164
Africa,,1972,29.83687842,0,0,0.165
Africa,,1973,29.80374195,0,0,0.17
Africa,,1974,35.08918549,0,0,0.175
Africa,,1975,36.87904837,0,0,0.172
Africa,,1976,40.86117924,0,0,0.185
Africa,,1977,45.08335112,0,0,0.189
Africa,,1978,46.08507934,0,0,0.195
Africa,,1979,47.28020678,0,0,0.201
Africa,,1980,46.03017056,0,0,0.207
Africa,,1981,48.37744646,0,0,0.218
Africa,,1982,48.63271473,0,0,0.236
Africa,,1983,45.50891466,0,0,0.23
Africa,,1984,45.12596032,0,0,0.234
Africa,,1985,49.44675065,0,0,0.269
Africa,,1986,51.1419867,0,0,0.659
Africa,,1987,49.05836471,0,0,0.658
Africa,,1988,53.59506976,0,0,0.626
Africa,,1989,56.27756997,0,0,0.617
Africa,,1990,57.25465912,0,0,0.732
Africa,,1991,60.65148841,0,0,0.738
Africa,,1992,57.86029168,0,0,0.76225
Africa,,1993,56.68250727,0,0.002,0.8397
Africa,,1994,57.59604857,0,0.0054,0.729
Africa,,1995,59.76887687,0,0.0063,0.9127
Africa,,1996,62.31645867,0,0.0071,1.120093088
Africa,,1997,63.85249756,0,0.0072,1.228640408
Africa,,1998,66.65488788,0,0.0076,1.530549286
Africa,,1999,70.68426132,0,0.0198,1.488124799
Africa,,2000,75.24581661,0.0184,0.176,2.224423439
Africa,,2001,80.86411467,0.0247,0.41608,2.291352632
Africa,,2002,85.18146813,0.03080101,0.444564,2.2404
Africa,,2003,82.87260147,0.03390101,0.541187,2.5774
Africa,,2004,87.40546922,0.03910101,0.769317505,2.939013907
Africa,,2005,89.06573417,0.04420101,0.782410111,2.968882935
Africa,,2006,92.24055302,0.05190101,0.852500606,3.731858627
Africa,,2007,95.34056187,0.063625293,1.016297364,3.10485
Africa,,2008,97.15720925,0.084917202,1.312184131,3.232422
Africa,,2009,99.76113688,0.107869927,1.589881939,3.52372219
Africa,,2010,107.4268326,0.22386475,2.284146434,3.788542064
Africa,,2011,110.452821,0.460530301,2.537475939,3.891561611
Africa,,2012,110.9523002,0.553427126,2.96169624,4.050949862
Africa,,2013,117.6728464,0.824283141,3.559756302,4.386625848
Africa,,2014,123.7577948,1.826255884,5.157167619,5.503549681
Africa,,2015,120.270852,3.568277276,8.88708224,7.067919743
Africa,,2016,116.688815,4.911321327,11.30470018,7.175974913
Africa,,2017,124.5781629,6.610571458,12.79590884,7.491825388
Africa,,2018,132.8407693,9.029088999,14.68593952,8.161022886
Algeria,DZA,1965,0.3933266,0,0,0
Algeria,DZA,1966,0.3623908,0,0,0
Algeria,DZA,1967,0.4065848,0,0,0
Algeria,DZA,1968,0.5568444,0,0,0
Algeria,DZA,1969,0.3623908,0,0,0
Algeria,DZA,1970,0.5833608,0,0,0
Algeria,DZA,1971,0.3270356,0,0,0
Algeria,DZA,1972,0.4993922,0,0,0
Algeria,DZA,1973,0.7557174,0,0,0
Algeria,DZA,1974,0.4993922,0,0,0
Algeria,DZA,1975,0.3270356,0,0,0
Algeria,DZA,1976,0.3844878,0,0,0
Algeria,DZA,1977,0.2695834,0,0,0
Algeria,DZA,1978,0.2563252,0,0,0
Algeria,DZA,1979,0.2916804,0,0,0
Algeria,DZA,1980,0.2563252,0,0,0
Algeria,DZA,1981,0.3623908,0,0,0
Algeria,DZA,1982,0.4772952,0,0,0
Algeria,DZA,1983,0.2342282,0,0,0
Algeria,DZA,1984,0.4551982,0,0,0
Algeria,DZA,1985,0.646,0,0,0
Algeria,DZA,1986,0.25,0,0,0
Algeria,DZA,1987,0.499,0,0,0
Algeria,DZA,1988,0.183,0,0,0
Algeria,DZA,1989,0.226,0,0,0
Algeria,DZA,1990,0.135,0,0,0
Algeria,DZA,1991,0.293,0,0,0
Algeria,DZA,1992,0.199,0,0,0
Algeria,DZA,1993,0.353,0,0,0
Algeria,DZA,1994,0.166,0,0,0
Algeria,DZA,1995,0.193,0,0,0
Algeria,DZA,1996,0.135,0,0,0
Algeria,DZA,1997,0.075,0,0,0
Algeria,DZA,1998,0.215,0,0,0
Algeria,DZA,1999,0.203,0,0,0
Algeria,DZA,2000,0.054,0,0,0
Algeria,DZA,2001,0.069,0,0,0
Algeria,DZA,2002,0.057,0,0,0
Algeria,DZA,2003,0.265,0,0,0
Algeria,DZA,2004,0.251,0,0,0
Algeria,DZA,2005,0.5553,0,0,0
Algeria,DZA,2006,0.2176,0,0,0
Algeria,DZA,2007,0.226,0,0,0
Algeria,DZA,2008,0.283,0,0,0
Algeria,DZA,2009,0.342,0,0,0
Algeria,DZA,2010,0.173,0.0091,0,0
Algeria,DZA,2011,0.378,0.01811875,0,0
Algeria,DZA,2012,0.389,0.026723014,0,0
Algeria,DZA,2013,0.099,0.0286,0,0
Algeria,DZA,2014,0.193,0.06,0.001,0
Algeria,DZA,2015,0.145,0.058,0.019,0
Algeria,DZA,2016,0.072,0.245,0.019052055,0
Algeria,DZA,2017,0.056,0.504,0.019,0
Algeria,DZA,2018,0.117,0.603,0.01,0
Argentina,ARG,1965,1.2109156,0,0,0
Argentina,ARG,1966,1.2285932,0,0,0
Argentina,ARG,1967,1.2551096,0,0,0
Argentina,ARG,1968,1.480499,0,0,0
Argentina,ARG,1969,1.32582,0,0,0
Argentina,ARG,1970,1.5158542,0,0,0.047540991
Argentina,ARG,1971,1.524693,0,0,0.049864614
Argentina,ARG,1972,1.4849184,0,0,0.064353152
Argentina,ARG,1973,2.960998,0,0,0.049042434
Argentina,ARG,1974,4.971825,0,0,0.050067671
Argentina,ARG,1975,5.1353428,0,0,0.054922642
Argentina,ARG,1976,4.9408892,0,0,0.050202792
Argentina,ARG,1977,5.7054454,0,0,0.053855108
Argentina,ARG,1978,7.6632396,0,0,0.054136662
Argentina,ARG,1979,10.5358496,0,0,0.084393763
Argentina,ARG,1980,14.9729272,0,0,0.086251568
Argentina,ARG,1981,14.5000514,0,0,0.0747225
Argentina,ARG,1982,17.4964046,0,0,0.095912465
Argentina,ARG,1983,18.207928,0,0,0.137314784
Argentina,ARG,1984,19.6486524,0,0,0.097392792
Argentina,ARG,1985,20.6562756,0,0,0.103321614
Argentina,ARG,1986,21.0085052,0,0,0.107078921
Argentina,ARG,1987,21.8132882,0,0,0.108156823
Argentina,ARG,1988,15.5497744,0,0,0.121116047
Argentina,ARG,1989,12.9769104,0,0,0.119376908
Argentina,ARG,1990,17.9031534,0,0,0.106763284
Argentina,ARG,1991,16.1993292,0,0,0.099600404
Argentina,ARG,1992,19.77905051,0,0,0.101865495
Argentina,ARG,1993,23.55547475,0,0,0.107438403
Argentina,ARG,1994,27.97278788,0,0,0.119290038
Argentina,ARG,1995,28.45812121,0,0,0.115592457
Argentina,ARG,1996,25.94518182,0,0.009618,0.351397492
Argentina,ARG,1997,33.0299596,0,0.014592,0.44563205
Argentina,ARG,1998,32.42178788,0.000017,0.032541,0.463881203
Argentina,ARG,1999,26.53007071,0.000026,0.034781,0.650455143
Argentina,ARG,2000,34.0340101,0.000036,0.034758,0.67501431
Argentina,ARG,2001,41.90326263,0.000043,0.049361,0.60932585
Argentina,ARG,2002,41.46705051,0.000047,0.073405,0.850248638
Argentina,ARG,2003,39.08008081,0.000065,0.077954,1.014079858
Argentina,ARG,2004,35.40287879,0.00007,0.072446,0.90029509
Argentina,ARG,2005,39.35009091,0.000081,0.071719665,1.074072901
